technique,year_start,year_end,num_groups,groups
Email Accounts,2024,2026,12,"Mustang Panda, APT42, TA577, Star Blizzard, VOID MANTICORE, CURIUM, APT-C-36, Medusa Group, OilRig, Moonstone Sleet, Contagious Interview, WIRTE"
Encrypted/Encoded File,2020,2022,12,"Moses Staff, Inception, Transparent Tribe, APT39, TeamTNT, Fox Kitten, BITTER, Mofang, Sidewinder, Higaisa, Whitefly, Blue Mockingbird"
Exfiltration Over C2 Channel,2019,2021,12,"Sandworm Team, MuddyWater, APT32, Wizard Spider, APT39, Confucius, ZIRCONIUM, Higaisa, Leviathan, Kimsuky, GALLIUM, Chimera"
Exfiltration to Cloud Storage,2023,2025,12,"Mustang Panda, Cinnamon Tempest, Medusa Group, Ember Bear, LuminousMoth, Indrik Spider, Wizard Spider, Akira, Scattered Spider, ToddyCat, Storm-0501, Contagious Interview"
External Remote Services,2019,2021,12,"Kimsuky, APT41, Wizard Spider, Sandworm Team, Chimera, Dragonfly, GALLIUM, TeamTNT, GOLD SOUTHFIELD, APT29, Leviathan, APT28"
Financial Theft,2024,2026,12,"AppleJeus, Malteiro, Storm-0501, Medusa Group, INC Ransom, Water Galura, Contagious Interview, VOID MANTICORE, Play, Scattered Spider, Akira, Kimsuky"
LSASS Memory,2020,2022,12,"Fox Kitten, Sandworm Team, HAFNIUM, Threat Group-3390, Indrik Spider, Kimsuky, Aquatic Panda, Leviathan, Whitefly, Silence, Blue Mockingbird, Earth Lusca"
LSASS Memory,2023,2025,12,"Agrius, UNC3886, FIN13, RedCurl, APT5, Play, Wizard Spider, Volt Typhoon, Moonstone Sleet, Mustang Panda, Ember Bear, Medusa Group"
Local Account,2019,2021,12,"Fox Kitten, Turla, Poseidon Group, Dragonfly, OilRig, Ke3chang, APT1, APT32, TeamTNT, Chimera, APT39, APT41"
Malicious Link,2023,2025,12,"TA2541, TA577, Saint Bear, RedCurl, Mustard Tempest, LuminousMoth, Daggerfly, APT38, Contagious Interview, Winter Vivern, TA578, Gamaredon Group"
Masquerading,2020,2022,12,"ZIRCONIUM, LazyScripter, TA551, Windshift, APT32, Nomadic Octopus, Aoqin Dragon, TeamTNT, APT28, OilRig, BRONZE BUTLER, menuPass"
Modify Registry,2022,2024,12,"Turla, Aquatic Panda, Indrik Spider, Saint Bear, Volt Typhoon, OilRig, Ember Bear, TA505, Earth Lusca, BlackByte, Magic Hound, LuminousMoth"
Modify Registry,2023,2025,12,"Turla, Lotus Blossom, Aquatic Panda, Indrik Spider, Saint Bear, Volt Typhoon, OilRig, Ember Bear, APT42, BlackByte, Medusa Group, LuminousMoth"
Python,2019,2021,12,"Kimsuky, Machete, Tonto Team, MuddyWater, ZIRCONIUM, APT39, APT37, Dragonfly, BRONZE BUTLER, Turla, Rocke, APT29"
Python,2020,2022,12,"Kimsuky, Tonto Team, MuddyWater, ZIRCONIUM, APT39, APT37, Dragonfly, BRONZE BUTLER, Earth Lusca, Turla, Rocke, APT29"
Remote Desktop Protocol,2018,2020,12,"Leviathan, Wizard Spider, Fox Kitten, FIN8, APT3, OilRig, Blue Mockingbird, Cobalt Group, Chimera, APT41, Silence, APT39"
Remote Desktop Protocol,2024,2026,12,"Medusa Group, Aquatic Panda, VOID MANTICORE, BlackByte, APT5, INC Ransom, Indrik Spider, Akira, Scattered Spider, Agrius, Volt Typhoon, MirrorFace"
Remote System Discovery,2019,2021,12,"Wizard Spider, Dragonfly, Chimera, Naikon, GALLIUM, APT39, Rocke, Sandworm Team, Fox Kitten, Indrik Spider, APT32, Silence"
Remote System Discovery,2024,2026,12,"Agrius, Mustang Panda, Lotus Blossom, Play, ToddyCat, Akira, APT41, Scattered Spider, BlackByte, Ember Bear, MirrorFace, Medusa Group"
Rundll32,2020,2022,12,"LazyScripter, Lazarus Group, Kimsuky, TA551, Gamaredon Group, Blue Mockingbird, HAFNIUM, APT41, Sandworm Team, APT32, APT38, Magic Hound"
Security Software Discovery,2019,2021,12,"Windshift, Turla, Darkhotel, TeamTNT, MuddyWater, The White Company, Cobalt Group, Sidewinder, Wizard Spider, Rocke, Tropic Trooper, APT38"
Spearphishing Attachment,2022,2024,12,"Saint Bear, WIRTE, Moonstone Sleet, BITTER, Malteiro, TA2541, Winter Vivern, CURIUM, SideCopy, Star Blizzard, RedCurl, EXOTIC LILY"
Spearphishing Link,2024,2026,12,"Storm-1811, Moonstone Sleet, WIRTE, MirrorFace, RedCurl, Star Blizzard, Scattered Spider, CURIUM, APT-C-36, TA577, APT42, Mustard Tempest"
System Network Connections Discovery,2020,2022,12,"TeamTNT, HEXANE, Mustang Panda, Earth Lusca, Tropic Trooper, BackdoorDiplomacy, Magic Hound, MuddyWater, Andariel, Chimera, Lazarus Group, Sandworm Team"
System Network Connections Discovery,2021,2023,12,"TeamTNT, HEXANE, Mustang Panda, Earth Lusca, BackdoorDiplomacy, Magic Hound, MuddyWater, Andariel, Volt Typhoon, Chimera, FIN13, Lazarus Group"
System Owner/User Discovery,2018,2020,12,"Wizard Spider, APT39, Sandworm Team, APT41, APT37, GALLIUM, Tropic Trooper, OilRig, APT32, Magic Hound, APT19, MuddyWater"
System Owner/User Discovery,2020,2022,12,"Chimera, Threat Group-3390, Windshift, Sidewinder, Wizard Spider, APT38, Dragonfly, Sandworm Team, Earth Lusca, Ke3chang, ZIRCONIUM, HEXANE"
System Owner/User Discovery,2022,2024,12,"Threat Group-3390, HAFNIUM, Winter Vivern, FIN7, Volt Typhoon, Moonstone Sleet, Aquatic Panda, FIN8, Earth Lusca, LuminousMoth, Ke3chang, HEXANE"
Upload Malware,2023,2025,12,"TA2541, LuminousMoth, Saint Bear, OilRig, APT42, Star Blizzard, FIN7, Moonstone Sleet, Contagious Interview, BlackByte, Sandworm Team, Mustard Tempest"
Valid Accounts,2024,2026,12,"Star Blizzard, Medusa Group, BlackByte, UNC3886, Sea Turtle, VOID MANTICORE, Play, Scattered Spider, INC Ransom, Akira, Volt Typhoon, Indrik Spider"
Web Protocols,2022,2024,12,"Moonstone Sleet, Metador, RedCurl, BlackByte, LuminousMoth, Daggerfly, RedEcho, BITTER, Kimsuky, Winter Vivern, FIN13, Sea Turtle"
Web Protocols,2023,2025,12,"Medusa Group, Moonstone Sleet, Metador, RedCurl, BlackByte, LuminousMoth, Daggerfly, RedEcho, Winter Vivern, APT42, FIN13, Sea Turtle"
Windows Management Instrumentation,2018,2020,12,"APT41, OilRig, FIN8, Wizard Spider, FIN6, APT32, Chimera, Threat Group-3390, Leviathan, Blue Mockingbird, MuddyWater, GALLIUM"
Windows Management Instrumentation,2020,2022,12,"Sandworm Team, Gamaredon Group, Windshift, Magic Hound, Wizard Spider, Naikon, Mustang Panda, FIN7, Chimera, Indrik Spider, Earth Lusca, Blue Mockingbird"
Windows Management Instrumentation,2022,2024,12,"Gamaredon Group, Ember Bear, Magic Hound, Volt Typhoon, Cinnamon Tempest, ToddyCat, INC Ransom, FIN13, Earth Lusca, Aquatic Panda, TA2541, BlackByte"
Windows Management Instrumentation,2024,2026,12,"Ember Bear, Lotus Blossom, Velvet Ant, Medusa Group, MirrorFace, ToddyCat, INC Ransom, APT-C-36, VOID MANTICORE, APT42, Aquatic Panda, BlackByte"
Code Signing,2018,2020,11,"CopyKittens, Wizard Spider, Kimsuky, Silence, FIN6, TA505, Leviathan, Patchwork, APT41, FIN7, PROMETHIUM"
Command Obfuscation,2022,2024,11,"Aquatic Panda, Gamaredon Group, HEXANE, TA505, Sidewinder, Play, Sandworm Team, Fox Kitten, APT32, APT19, Magic Hound"
Deobfuscate/Decode Files or Information,2019,2021,11,"Sandworm Team, ZIRCONIUM, Higaisa, WIRTE, Molerats, Rocke, Darkhotel, Tropic Trooper, Turla, APT39, Gamaredon Group"
Deobfuscate/Decode Files or Information,2021,2023,11,"Kimsuky, TA505, ZIRCONIUM, Higaisa, FIN13, Lazarus Group, Ke3chang, Earth Lusca, Cinnamon Tempest, APT39, TeamTNT"
Disable or Modify Tools,2020,2022,11,"TA505, BRONZE BUTLER, Rocke, Magic Hound, Aquatic Panda, Gamaredon Group, MuddyWater, FIN6, TeamTNT, Wizard Spider, Indrik Spider"
Email Accounts,2023,2025,11,"Wizard Spider, Mustang Panda, APT42, TA577, Star Blizzard, CURIUM, Indrik Spider, Medusa Group, OilRig, Moonstone Sleet, Contagious Interview"
Email Addresses,2020,2022,11,"Magic Hound, Kimsuky, HEXANE, HAFNIUM, Lazarus Group, Sandworm Team, LAPSUS$, Silent Librarian, TA551, EXOTIC LILY, APT32"
Exfiltration to Cloud Storage,2020,2022,11,"POLONIUM, FIN7, HEXANE, Earth Lusca, Kimsuky, Chimera, HAFNIUM, Confucius, Threat Group-3390, ZIRCONIUM, Leviathan"
Exploit Public-Facing Application,2018,2020,11,"APT41, APT39, Fox Kitten, GALLIUM, Blue Mockingbird, Axiom, BlackTech, APT29, APT28, GOLD SOUTHFIELD, Rocke"
External Remote Services,2020,2022,11,"Kimsuky, LAPSUS$, Wizard Spider, Sandworm Team, Chimera, Dragonfly, TeamTNT, GOLD SOUTHFIELD, APT29, Leviathan, APT28"
File Deletion,2023,2025,11,"Play, Ember Bear, INC Ransom, Contagious Interview, Metador, APT5, BlackByte, Medusa Group, UNC3886, RedCurl, Volt Typhoon"
Hidden Window,2019,2021,11,"Gorgon Group, Magic Hound, Nomadic Octopus, DarkHydrus, Deep Panda, Higaisa, APT19, APT32, APT3, CopyKittens, APT28"
Impersonation,2025,2027,11,"WIRTE, Kimsuky, Star Blizzard, Storm-1811, APT42, Contagious Interview, MuddyWater, APT28, APT-C-36, VOID MANTICORE, MirrorFace"
Ingress Tool Transfer,2024,2026,11,"Storm-1811, Medusa Group, Volt Typhoon, Daggerfly, Play, Winter Vivern, INC Ransom, Scattered Spider, VOID MANTICORE, Moonstone Sleet, BlackByte"
LSASS Memory,2022,2024,11,"Agrius, FIN13, RedCurl, APT5, Aquatic Panda, Play, Wizard Spider, Volt Typhoon, Moonstone Sleet, Earth Lusca, Ember Bear"
LSASS Memory,2024,2026,11,"Agrius, VOID MANTICORE, MirrorFace, UNC3886, RedCurl, APT5, Play, Moonstone Sleet, Mustang Panda, Ember Bear, Medusa Group"
Lateral Tool Transfer,2023,2025,11,"Agrius, Medusa Group, INC Ransom, APT41, Velvet Ant, Volt Typhoon, UNC3886, Storm-1811, Ember Bear, BlackByte, Magic Hound"
Local Account,2018,2020,11,"Fox Kitten, Turla, Poseidon Group, APT3, OilRig, Ke3chang, APT1, APT32, APT39, APT41, Leafminer"
Local Account,2022,2024,11,"FIN13, Magic Hound, Daggerfly, Wizard Spider, Moses Staff, APT5, RedCurl, Kimsuky, Volt Typhoon, Indrik Spider, APT41"
Local Account,2023,2025,11,"Medusa Group, APT42, FIN13, Daggerfly, Wizard Spider, APT5, RedCurl, Volt Typhoon, Lotus Blossom, Indrik Spider, APT41"
Local Data Staging,2021,2023,11,"BackdoorDiplomacy, MuddyWater, Chimera, TeamTNT, Wizard Spider, Volt Typhoon, Dragonfly, Mustang Panda, Sidewinder, Indrik Spider, FIN13"
Malicious Link,2024,2026,11,"TA577, Saint Bear, RedCurl, APT-C-36, Daggerfly, APT38, Contagious Interview, Winter Vivern, WIRTE, TA578, Gamaredon Group"
Masquerading,2019,2021,11,"ZIRCONIUM, LazyScripter, TA551, Windshift, APT32, PLATINUM, Nomadic Octopus, APT28, OilRig, BRONZE BUTLER, menuPass"
Match Legitimate Resource Name or Location,2017,2019,11,"MuddyWater, Sowbug, APT32, BRONZE BUTLER, APT1, admin@338, Carbanak, Poseidon Group, Patchwork, menuPass, APT41"
Mshta,2020,2022,11,"Earth Lusca, Sidewinder, Lazarus Group, LazyScripter, APT29, SideCopy, Inception, Confucius, TA551, Mustang Panda, Gamaredon Group"
Mshta,2021,2023,11,"Earth Lusca, Sidewinder, Lazarus Group, LazyScripter, APT29, SideCopy, Confucius, TA551, Mustang Panda, TA2541, Gamaredon Group"
NTDS,2020,2022,11,"FIN6, LAPSUS$, APT28, menuPass, Fox Kitten, Chimera, Mustang Panda, Dragonfly, Ke3chang, Wizard Spider, HAFNIUM"
Network Service Discovery,2017,2019,11,"OilRig, Tropic Trooper, menuPass, Suckfly, Threat Group-3390, APT39, Cobalt Group, APT32, APT41, FIN6, Leafminer"
Network Service Discovery,2019,2021,11,"Naikon, Rocke, Tropic Trooper, APT39, Fox Kitten, DarkVishnya, APT32, BackdoorDiplomacy, Chimera, APT41, TeamTNT"
Network Service Discovery,2023,2025,11,"FIN13, Agrius, BlackByte, Ember Bear, Volt Typhoon, RedCurl, Magic Hound, Medusa Group, INC Ransom, Lotus Blossom, Mustang Panda"
Network Share Discovery,2019,2021,11,"APT39, APT32, APT41, Tonto Team, Dragonfly, Wizard Spider, Chimera, APT1, DarkVishnya, Tropic Trooper, APT38"
Non-Standard Port,2020,2022,11,"Rocke, DarkVishnya, APT32, WIRTE, Sandworm Team, FIN7, Magic Hound, Lazarus Group, APT33, Silence, APT-C-36"
Obfuscated Files or Information,2018,2020,11,"BlackOasis, APT-C-36, GALLIUM, Gallmaker, APT37, Sandworm Team, Kimsuky, APT41, APT3, Gamaredon Group, Rocke"
Obfuscated Files or Information,2019,2021,11,"APT-C-36, GALLIUM, BackdoorDiplomacy, Gallmaker, Mustang Panda, Sandworm Team, Kimsuky, APT41, Windshift, Gamaredon Group, Rocke"
Obfuscated Files or Information,2020,2022,11,"Earth Lusca, APT-C-36, BackdoorDiplomacy, Mustang Panda, Sandworm Team, Kimsuky, APT41, Windshift, Ke3chang, Gamaredon Group, Rocke"
Process Discovery,2018,2020,11,"APT37, Rocke, Magic Hound, Darkhotel, Tropic Trooper, OilRig, Inception, APT38, APT3, MuddyWater, APT1"
Remote Desktop Protocol,2019,2021,11,"Leviathan, Wizard Spider, Fox Kitten, Blue Mockingbird, Chimera, APT41, Silence, Kimsuky, APT39, Dragonfly, FIN7"
Remote Desktop Protocol,2022,2024,11,"Magic Hound, Aquatic Panda, BlackByte, APT5, INC Ransom, HEXANE, Indrik Spider, Akira, Agrius, Volt Typhoon, FIN13"
Remote Desktop Protocol,2023,2025,11,"Medusa Group, Aquatic Panda, BlackByte, APT5, INC Ransom, Indrik Spider, Akira, Scattered Spider, Agrius, Volt Typhoon, FIN13"
Remote System Discovery,2020,2022,11,"Wizard Spider, Dragonfly, Chimera, Naikon, Rocke, HEXANE, Sandworm Team, Earth Lusca, Fox Kitten, Indrik Spider, Silence"
Rundll32,2019,2021,11,"LazyScripter, TA551, Gamaredon Group, Blue Mockingbird, TA505, HAFNIUM, APT41, Sandworm Team, APT32, APT38, MuddyWater"
Scheduled Task,2024,2026,11,"Winter Vivern, BlackByte, Moonstone Sleet, Sandworm Team, APT42, Earth Lusca, ToddyCat, RedCurl, Daggerfly, Ember Bear, Storm-0501"
System Network Configuration Discovery,2018,2020,11,"MuddyWater, GALLIUM, OilRig, APT32, APT19, Darkhotel, APT1, Magic Hound, Tropic Trooper, APT41, Wizard Spider"
System Network Configuration Discovery,2022,2024,11,"Volt Typhoon, Play, SideCopy, FIN13, Moonstone Sleet, Moses Staff, BlackByte, HEXANE, Earth Lusca, HAFNIUM, Kimsuky"
Upload Malware,2024,2026,11,"WIRTE, APT-C-36, Saint Bear, OilRig, APT42, Star Blizzard, Moonstone Sleet, Contagious Interview, BlackByte, Sandworm Team, Mustard Tempest"
Valid Accounts,2021,2023,11,"Axiom, LAPSUS$, Dragonfly, FIN7, Silent Librarian, APT29, Lazarus Group, POLONIUM, Cinnamon Tempest, Ke3chang, Leviathan"
Virtual Private Server,2022,2024,11,"Gamaredon Group, APT28, Sea Turtle, Ember Bear, Volt Typhoon, BlackByte, Moonstone Sleet, Winter Vivern, Axiom, CURIUM, LAPSUS$"
Web Service,2020,2022,11,"APT32, Gamaredon Group, FIN8, Inception, Rocke, TeamTNT, Mustang Panda, Turla, EXOTIC LILY, LazyScripter, Fox Kitten"
Windows Service,2017,2019,11,"APT19, Carbanak, APT3, APT41, Cobalt Group, Ke3chang, Kimsuky, Tropic Trooper, Lazarus Group, FIN7, Threat Group-3390"
Code Signing,2017,2019,10,"CopyKittens, Suckfly, FIN6, Darkhotel, TA505, Winnti Group, Leviathan, Molerats, APT41, FIN7"
Code Signing,2019,2021,10,"Wizard Spider, menuPass, Kimsuky, Silence, FIN6, TA505, GALLIUM, Patchwork, APT41, PROMETHIUM"
Data Encrypted for Impact,2024,2026,10,"BlackByte, VOID MANTICORE, INC Ransom, Storm-1811, Medusa Group, Scattered Spider, Storm-0501, Water Galura, Akira, Moonstone Sleet"
Deobfuscate/Decode Files or Information,2024,2026,10,"Winter Vivern, Agrius, Storm-1811, Volt Typhoon, Malteiro, Mustang Panda, APT38, Moonstone Sleet, BlackByte, FIN7"
Disable or Modify Tools,2019,2021,10,"BRONZE BUTLER, Kimsuky, Rocke, Gamaredon Group, Turla, MuddyWater, FIN6, TeamTNT, Wizard Spider, Indrik Spider"
Domain Account,2022,2024,10,"RedCurl, FIN13, Scattered Spider, APT41, BlackByte, LAPSUS$, Volt Typhoon, INC Ransom, ToddyCat, Wizard Spider"
Domain Accounts,2023,2025,10,"Aquatic Panda, BlackByte, APT5, Cinnamon Tempest, Play, ToddyCat, Agrius, Volt Typhoon, OilRig, Magic Hound"
Email Addresses,2021,2023,10,"Magic Hound, Kimsuky, HEXANE, HAFNIUM, Lazarus Group, LAPSUS$, Silent Librarian, TA551, EXOTIC LILY, APT32"
Exfiltration to Cloud Storage,2024,2026,10,"Mustang Panda, Medusa Group, MuddyWater, Ember Bear, Indrik Spider, Akira, Scattered Spider, ToddyCat, Storm-0501, Contagious Interview"
External Remote Services,2018,2020,10,"Kimsuky, APT41, Wizard Spider, Sandworm Team, OilRig, Chimera, GALLIUM, GOLD SOUTHFIELD, FIN5, Ke3chang"
File Deletion,2024,2026,10,"Play, Ember Bear, MirrorFace, INC Ransom, Contagious Interview, APT5, BlackByte, Medusa Group, UNC3886, RedCurl"
Keylogging,2019,2021,10,"menuPass, APT32, APT41, Kimsuky, APT39, Sandworm Team, APT38, Ajax Security Team, Tonto Team, FIN4"
Local Data Staging,2020,2022,10,"BackdoorDiplomacy, MuddyWater, Chimera, TeamTNT, Kimsuky, APT39, Dragonfly, Mustang Panda, Sidewinder, Indrik Spider"
Modify Registry,2024,2026,10,"Lotus Blossom, Aquatic Panda, Indrik Spider, Saint Bear, Volt Typhoon, OilRig, Ember Bear, APT42, BlackByte, Medusa Group"
Native API,2020,2022,10,"BlackTech, Tropic Trooper, menuPass, Higaisa, Gamaredon Group, SideCopy, APT38, Lazarus Group, TA505, Chimera"
Network Service Discovery,2018,2020,10,"OilRig, Rocke, Tropic Trooper, APT39, Fox Kitten, DarkVishnya, Cobalt Group, APT32, APT41, Leafminer"
Network Service Discovery,2022,2024,10,"FIN13, Agrius, BlackByte, Ember Bear, Volt Typhoon, RedCurl, BlackTech, Magic Hound, INC Ransom, Lazarus Group"
Remote Desktop Protocol,2020,2022,10,"Magic Hound, Wizard Spider, Fox Kitten, HEXANE, Blue Mockingbird, Chimera, Silence, Kimsuky, Dragonfly, FIN7"
Rundll32,2018,2020,10,"Gamaredon Group, APT19, Blue Mockingbird, CopyKittens, TA505, APT41, Sandworm Team, APT32, APT3, MuddyWater"
SMB/Windows Admin Shares,2018,2020,10,"Orangeworm, Blue Mockingbird, APT32, APT41, APT39, APT3, Wizard Spider, Chimera, Fox Kitten, FIN8"
Screen Capture,2018,2020,10,"OilRig, MuddyWater, GOLD SOUTHFIELD, BRONZE BUTLER, Magic Hound, APT39, Gamaredon Group, Silence, FIN7, Dark Caracal"
Security Software Discovery,2020,2022,10,"Kimsuky, Windshift, Aquatic Panda, Turla, TeamTNT, SideCopy, Sidewinder, Wizard Spider, Rocke, APT38"
Social Media Accounts,2020,2022,10,"Fox Kitten, EXOTIC LILY, Kimsuky, HEXANE, Lazarus Group, Magic Hound, Leviathan, Cleaver, Sandworm Team, APT32"
Software Discovery,2020,2022,10,"Windigo, HEXANE, Mustang Panda, Windshift, Inception, BRONZE BUTLER, Tropic Trooper, SideCopy, MuddyWater, Sidewinder"
System Network Configuration Discovery,2023,2025,10,"Volt Typhoon, Play, APT42, FIN13, Medusa Group, Moonstone Sleet, BlackByte, Scattered Spider, Lotus Blossom, HAFNIUM"
System Owner/User Discovery,2023,2025,10,"HAFNIUM, Winter Vivern, FIN7, Volt Typhoon, Moonstone Sleet, Aquatic Panda, Medusa Group, FIN8, LuminousMoth, Storm-1811"
Web Protocols,2024,2026,10,"Medusa Group, Moonstone Sleet, RedCurl, BlackByte, Daggerfly, RedEcho, VOID MANTICORE, Winter Vivern, APT42, Sea Turtle"
Web Service,2019,2021,10,"APT32, Gamaredon Group, FIN8, FIN6, Inception, Rocke, TeamTNT, Turla, LazyScripter, Fox Kitten"
Web Services,2023,2025,10,"Saint Bear, TA578, Contagious Interview, FIN7, CURIUM, Winter Vivern, TA2541, Gamaredon Group, Medusa Group, Mustang Panda"
Web Services,2024,2026,10,"Saint Bear, TA578, APT-C-36, Contagious Interview, CURIUM, Winter Vivern, VOID MANTICORE, Gamaredon Group, Medusa Group, Mustang Panda"
Web Shell,2022,2024,10,"Volt Typhoon, Ember Bear, CURIUM, Sea Turtle, FIN13, BlackByte, Magic Hound, Agrius, Moses Staff, APT5"
Web Shell,2023,2025,10,"Volt Typhoon, Ember Bear, CURIUM, Sea Turtle, FIN13, BlackByte, Mustang Panda, Agrius, APT5, Medusa Group"
Windows Service,2019,2021,10,"TeamTNT, DarkVishnya, APT41, Wizard Spider, Kimsuky, APT38, Tropic Trooper, APT32, PROMETHIUM, Blue Mockingbird"
Archive via Utility,2021,2023,9,"Wizard Spider, FIN13, Kimsuky, Volt Typhoon, Mustang Panda, Earth Lusca, HAFNIUM, APT28, Aquatic Panda"
Bidirectional Communication,2020,2022,9,"ZIRCONIUM, Kimsuky, POLONIUM, Lazarus Group, Sandworm Team, APT28, APT39, HEXANE, MuddyWater"
Code Signing,2020,2022,9,"Wizard Spider, menuPass, Kimsuky, Lazarus Group, Silence, GALLIUM, Patchwork, Moses Staff, PROMETHIUM"
Compression,2025,2027,9,"TA2541, Higaisa, Mofang, Leviathan, WIRTE, Threat Group-3390, Kimsuky, Gamaredon Group, VOID MANTICORE"
DLL,2022,2024,9,"FIN13, Aquatic Panda, Lazarus Group, LuminousMoth, SideCopy, Cinnamon Tempest, Earth Lusca, Daggerfly, MuddyWater"
DNS,2019,2021,9,"APT39, APT18, Tropic Trooper, APT41, Ke3chang, Chimera, Cobalt Group, LazyScripter, OilRig"
Domain Account,2019,2021,9,"Turla, GALLIUM, Wizard Spider, Fox Kitten, Dragonfly, Chimera, MuddyWater, Sandworm Team, HAFNIUM"
Domain Account,2020,2022,9,"Turla, Wizard Spider, Fox Kitten, Dragonfly, Chimera, LAPSUS$, MuddyWater, Sandworm Team, HAFNIUM"
Domains,2025,2027,9,"APT-C-36, Contagious Interview, MuddyWater, Scattered Spider, Storm-1811, APT38, APT42, WIRTE, VOID MANTICORE"
Drive-by Compromise,2021,2023,9,"Transparent Tribe, Leviathan, Windigo, APT28, Magic Hound, Earth Lusca, Axiom, Andariel, Machete"
Encrypted/Encoded File,2021,2023,9,"Moses Staff, TA2541, Transparent Tribe, APT39, TeamTNT, BITTER, Sidewinder, Higaisa, Metador"
Exfiltration Over C2 Channel,2020,2022,9,"Sandworm Team, MuddyWater, Wizard Spider, APT39, Confucius, ZIRCONIUM, Higaisa, Leviathan, Chimera"
Exfiltration Over C2 Channel,2024,2026,9,"Winter Vivern, CURIUM, Scattered Spider, Contagious Interview, Mustang Panda, Agrius, VOID MANTICORE, BlackByte, WIRTE"
File Deletion,2021,2023,9,"Mustang Panda, Chimera, APT39, Evilnum, Aquatic Panda, Metador, TeamTNT, Dragonfly, Volt Typhoon"
File Deletion,2022,2024,9,"Play, Ember Bear, INC Ransom, Aquatic Panda, Metador, APT5, BlackByte, RedCurl, Volt Typhoon"
Internet Connection Discovery,2021,2023,9,"TA2541, Magic Hound, FIN13, FIN8, Turla, HAFNIUM, APT29, Gamaredon Group, HEXANE"
Internet Connection Discovery,2022,2024,9,"TA2541, Magic Hound, FIN13, FIN8, Volt Typhoon, HAFNIUM, APT29, Gamaredon Group, HEXANE"
JavaScript,2018,2020,9,"Cobalt Group, Leafminer, FIN7, Silence, FIN6, TA505, APT32, Kimsuky, Molerats"
JavaScript,2021,2023,9,"LazyScripter, Turla, Evilnum, Sidewinder, Earth Lusca, MoustachedBouncer, MuddyWater, Indrik Spider, Higaisa"
Lateral Tool Transfer,2024,2026,9,"Agrius, Medusa Group, INC Ransom, APT41, Velvet Ant, UNC3886, Storm-1811, Ember Bear, BlackByte"
Local Account,2024,2026,9,"Medusa Group, APT42, Daggerfly, APT5, RedCurl, Volt Typhoon, Lotus Blossom, Indrik Spider, APT41"
Local Data Staging,2017,2019,9,"APT28, Patchwork, Leviathan, GALLIUM, Lazarus Group, Threat Group-3390, menuPass, APT3, FIN5"
Local Data Staging,2019,2021,9,"BackdoorDiplomacy, GALLIUM, Chimera, Kimsuky, APT39, Dragonfly, Mustang Panda, Sidewinder, Indrik Spider"
Malicious File,2023,2025,9,"RedCurl, CURIUM, Malteiro, Saint Bear, Storm-1811, Star Blizzard, Moonstone Sleet, Contagious Interview, TA2541"
Malicious File,2024,2026,9,"RedCurl, Malteiro, Saint Bear, Storm-1811, MirrorFace, VOID MANTICORE, Star Blizzard, Moonstone Sleet, Contagious Interview"
Masquerade Task or Service,2021,2023,9,"BackdoorDiplomacy, Higaisa, ZIRCONIUM, Naikon, Lazarus Group, APT41, Magic Hound, FIN13, BITTER"
Masquerading,2021,2023,9,"ZIRCONIUM, FIN13, LazyScripter, TA551, Nomadic Octopus, Aoqin Dragon, TeamTNT, APT28, OilRig"
Modify Registry,2019,2021,9,"Dragonfly, Gamaredon Group, Silence, APT41, APT38, Kimsuky, Wizard Spider, APT32, Blue Mockingbird"
Modify Registry,2020,2022,9,"Dragonfly, Gamaredon Group, Silence, Kimsuky, Wizard Spider, TA505, Earth Lusca, Magic Hound, Blue Mockingbird"
NTDS,2021,2023,9,"LAPSUS$, APT28, Volt Typhoon, Mustang Panda, FIN13, Sandworm Team, Dragonfly, Ke3chang, HAFNIUM"
Network Service Discovery,2020,2022,9,"Naikon, Rocke, Fox Kitten, DarkVishnya, BlackTech, BackdoorDiplomacy, Chimera, Lazarus Group, TeamTNT"
Network Service Discovery,2024,2026,9,"Agrius, BlackByte, Ember Bear, Volt Typhoon, RedCurl, Medusa Group, INC Ransom, Lotus Blossom, Mustang Panda"
Process Discovery,2022,2024,9,"Volt Typhoon, HEXANE, Kimsuky, Play, Gamaredon Group, HAFNIUM, ToddyCat, Earth Lusca, APT5"
Process Discovery,2023,2025,9,"Volt Typhoon, Play, FIN7, HAFNIUM, Storm-0501, ToddyCat, APT5, UNC3886, Medusa Group"
Remote System Discovery,2021,2023,9,"Dragonfly, HAFNIUM, Chimera, Naikon, HEXANE, Earth Lusca, Magic Hound, Indrik Spider, Volt Typhoon"
Rundll32,2021,2023,9,"LazyScripter, Lazarus Group, Kimsuky, TA551, HAFNIUM, FIN7, APT38, Magic Hound, Wizard Spider"
SMB/Windows Admin Shares,2017,2019,9,"Orangeworm, APT32, Threat Group-1314, Lazarus Group, APT3, Turla, Ke3chang, Deep Panda, FIN8"
SMB/Windows Admin Shares,2019,2021,9,"Blue Mockingbird, APT32, APT41, APT39, APT28, Wizard Spider, Sandworm Team, Chimera, Fox Kitten"
SMB/Windows Admin Shares,2020,2022,9,"Blue Mockingbird, APT41, APT39, APT28, Wizard Spider, Moses Staff, Sandworm Team, Chimera, Fox Kitten"
